,0,1,2,3,4,5
69,"Game 1 Sun, April 17 Atlanta Hawks 91@ Miami Heat 115 Game 2 Tue, April 19 Atlanta Hawks 105@ Miami Heat 115 Game 3 Fri, April 22 Miami Heat 110@ Atlanta Hawks 111 Game 4 Sun, April 24 Miami Heat 110@ Atlanta Hawks 86 Game 5 Tue, April 26 Atlanta Hawks 94@ Miami Heat 97","Game 1 Sun, April 17 Atlanta Hawks 91@ Miami Heat 115 Game 2 Tue, April 19 Atlanta Hawks 105@ Miami Heat 115 Game 3 Fri, April 22 Miami Heat 110@ Atlanta Hawks 111 Game 4 Sun, April 24 Miami Heat 110@ Atlanta Hawks 86 Game 5 Tue, April 26 Atlanta Hawks 94@ Miami Heat 97","Game 1 Sun, April 17 Atlanta Hawks 91@ Miami Heat 115 Game 2 Tue, April 19 Atlanta Hawks 105@ Miami Heat 115 Game 3 Fri, April 22 Miami Heat 110@ Atlanta Hawks 111 Game 4 Sun, April 24 Miami Heat 110@ Atlanta Hawks 86 Game 5 Tue, April 26 Atlanta Hawks 94@ Miami Heat 97",,,
70,Game 1,"Sun, April 17",Atlanta Hawks,91.0,@ Miami Heat,115.0
71,Game 2,"Tue, April 19",Atlanta Hawks,105.0,@ Miami Heat,115.0
72,Game 3,"Fri, April 22",Miami Heat,110.0,@ Atlanta Hawks,111.0
73,Game 4,"Sun, April 24",Miami Heat,110.0,@ Atlanta Hawks,86.0
74,Game 5,"Tue, April 26",Atlanta Hawks,94.0,@ Miami Heat,97.0
75,Eastern Conference First Round,Milwaukee Bucks over Chicago Bulls  (4-1),Series Stats,,,
76,"Game 1 Sun, April 17 Chicago Bulls 86@ Milwaukee Bucks 93 Game 2 Wed, April 20 Chicago Bulls 114@ Milwaukee Bucks 110 Game 3 Fri, April 22 Milwaukee Bucks 111@ Chicago Bulls 81 Game 4 Sun, April 24 Milwaukee Bucks 119@ Chicago Bulls 95 Game 5 Wed, April 27 Chicago Bulls 100@ Milwaukee Bucks 116","Game 1 Sun, April 17 Chicago Bulls 86@ Milwaukee Bucks 93 Game 2 Wed, April 20 Chicago Bulls 114@ Milwaukee Bucks 110 Game 3 Fri, April 22 Milwaukee Bucks 111@ Chicago Bulls 81 Game 4 Sun, April 24 Milwaukee Bucks 119@ Chicago Bulls 95 Game 5 Wed, April 27 Chicago Bulls 100@ Milwaukee Bucks 116","Game 1 Sun, April 17 Chicago Bulls 86@ Milwaukee Bucks 93 Game 2 Wed, April 20 Chicago Bulls 114@ Milwaukee Bucks 110 Game 3 Fri, April 22 Milwaukee Bucks 111@ Chicago Bulls 81 Game 4 Sun, April 24 Milwaukee Bucks 119@ Chicago Bulls 95 Game 5 Wed, April 27 Chicago Bulls 100@ Milwaukee Bucks 116",,,
77,Game 1,"Sun, April 17",Chicago Bulls,86.0,@ Milwaukee Bucks,93.0
78,Game 2,"Wed, April 20",Chicago Bulls,114.0,@ Milwaukee Bucks,110.0
79,Game 3,"Fri, April 22",Milwaukee Bucks,111.0,@ Chicago Bulls,81.0
80,Game 4,"Sun, April 24",Milwaukee Bucks,119.0,@ Chicago Bulls,95.0
